GM102B_mean,GM302B_mean,GM502B_mean,GM702B_mean,temperature_mean,humidity_mean,GM102B_max,GM302B_max,GM502B_max,GM702B_max,temperature_max,humidity_max,GM102B_min,GM302B_min,GM502B_min,GM702B_min,temperature_min,humidity_min,GM102B_sd,GM302B_sd,GM502B_sd,GM702B_sd,temperature_sd,humidity_sd,GM102B_final,GM302B_final,GM502B_final,GM702B_final,temperature_final,humidity_final,treatment,timestamp
104.9667,344.1733,306.2267,326.94,36.6295,37.8326,112,356,317,331,36.79,37.98,90,331,293,317,36.51,37.63,5.7883,7.637,7.0423,3.0737,0.0844,0.0937,112,356,317,330,36.76,37.67,with_homthai_20250408_193032,1744115432
103.6833,339.1433,301.3067,327.4633,36.6253,37.8513,111,351,312,331,36.78,38.02,89,327,289,318,36.49,37.65,5.6518,7.4418,6.8427,2.9367,0.0806,0.0942,111,351,312,331,36.75,37.73,with_homthai_20250408_194035,1744116035
102.2733,334.4467,296.5167,327.7633,36.6068,37.8688,110,346,307,331,36.76,38.01,89,322,285,318,36.48,37.63,5.6892,7.1567,6.3801,2.7028,0.0826,0.089,109,346,307,331,36.74,37.73,with_homthai_20250408_195038,1744116638
101.08,330.3733,292.4967,327.9167,36.6193,37.8485,108,342,302,331,36.78,37.99,87,318,281,318,36.49,37.62,5.4165,7.0094,6.3153,3.0044,0.0805,0.0897,108,342,302,331,36.78,37.69,with_homthai_20250408_200041,1744117241
100.6333,327.0333,289.4133,328.5633,36.6127,37.8249,107,338,299,332,36.76,37.98,87,315,278,317,36.49,37.54,5.3461,6.9959,6.2519,3.2446,0.0806,0.0921,107,338,299,332,36.75,37.67,with_homthai_20250408_201044,1744117844
99.3233,322.95,285.52,328.3133,36.5819,37.8363,106,334,295,332,36.74,37.95,86,312,274,317,36.47,37.52,5.2977,6.8163,6.0756,3.3922,0.0747,0.0787,106,334,295,332,36.72,37.73,with_homthai_20250408_202047,1744118447
98.0167,319.39,282.1833,328.0333,36.569,37.7973,105,331,292,332,36.72,37.93,85,308,272,318,36.45,37.48,5.218,6.6225,5.8724,3.3561,0.0733,0.0853,105,331,291,332,36.72,37.65,with_homthai_20250408_203051,1744119051
97.53,316.0767,279.1767,327.8567,36.547,37.762,104,327,289,332,36.7,37.91,85,304,269,317,36.43,37.39,5.1156,6.7307,5.9157,3.5822,0.0769,0.0882,104,327,289,332,36.7,37.67,with_homthai_20250408_204054,1744119654
95.8333,312.4933,275.4767,327.52,36.5295,37.7083,102,323,284,331,36.67,37.84,84,301,265,316,36.41,37.31,4.9356,6.5671,5.5146,3.7979,0.0733,0.0906,102,323,284,331,36.65,37.61,with_homthai_20250408_205058,1744120258
95.6767,310.07,273.1533,327.83,36.5639,37.6327,102,321,283,332,36.71,37.78,83,299,262,315,36.44,37.19,5.07,6.6934,5.9701,3.9993,0.081,0.096,102,321,282,332,36.7,37.53,with_homthai_20250408_210101,1744120861
