sensor,a,b,intercept,treatment,timestamp
GM102B_mean,24.715408,-0.253605,-609.726756,hourly_monitor_20250403_090359,1743645839.3384511
GM302B_mean,20.501747,1.987570,-377.627732,hourly_monitor_20250403_090359,1743645839.3384511
GM502B_mean,19.955665,-1.258358,-204.438225,hourly_monitor_20250403_090359,1743645839.3384511
GM702B_mean,30.420428,11.925671,-1088.218523,hourly_monitor_20250403_090359,1743645839.3384511
GM102B_mean,26.285802,-1.174860,-624.061220,hourly_monitor_20250403_092548,1743647148.6631927
GM302B_mean,24.981305,-0.640313,-418.516855,hourly_monitor_20250403_092548,1743647148.6631927
GM502B_mean,26.256042,-4.954405,-261.947681,hourly_monitor_20250403_092548,1743647148.6631927
GM702B_mean,29.078355,12.712983,-1075.968169,hourly_monitor_20250403_092548,1743647148.6631927
GM102B_mean,27.708951,-1.910898,-640.970120,hourly_monitor_20250403_093345,1743647625.2269788
GM302B_mean,28.710784,-2.569162,-462.828041,hourly_monitor_20250403_093345,1743647625.2269788
GM502B_mean,31.386234,-7.607689,-322.901207,hourly_monitor_20250403_093345,1743647625.2269788
GM702B_mean,27.583046,13.486342,-1058.201897,hourly_monitor_20250403_093345,1743647625.2269788
GM102B_mean,28.814710,-2.572308,-651.034708,15min_monitor_20250403_094425,1743648265.5982475
GM302B_mean,30.886827,-3.870762,-482.634308,15min_monitor_20250403_094425,1743648265.5982475
GM502B_mean,34.268760,-9.331872,-349.137852,15min_monitor_20250403_094425,1743648265.5982475
GM702B_mean,27.246386,13.687715,-1055.137634,15min_monitor_20250403_094425,1743648265.5982475
GM102B_mean,24.799888,-4.015818,-463.485072,15min_monitor_20250403_101346,1743650026.4814923
GM302B_mean,25.630430,-5.760675,-237.085375,15min_monitor_20250403_101346,1743650026.4814923
GM502B_mean,28.168811,-11.525079,-64.182979,15min_monitor_20250403_101346,1743650026.4814923
GM702B_mean,25.382688,13.017631,-968.076278,15min_monitor_20250403_101346,1743650026.4814923
GM102B_mean,21.789114,-6.001570,-285.513456,min_monitor_20250403_102134,1743650494.150385
GM302B_mean,22.058460,-8.116562,-25.940588,min_monitor_20250403_102134,1743650494.150385
GM502B_mean,24.275540,-14.092881,165.954421,min_monitor_20250403_102134,1743650494.150385
GM702B_mean,22.490448,11.110058,-797.111375,min_monitor_20250403_102134,1743650494.150385
GM102B_mean,19.861558,-7.553633,-159.755275,min_monitor_20250403_103150,1743651110.7529058
GM302B_mean,19.783010,-9.948749,122.515025,min_monitor_20250403_103150,1743651110.7529058
GM502B_mean,21.944205,-15.970066,318.056076,min_monitor_20250403_103150,1743651110.7529058
GM702B_mean,20.118155,9.199894,-642.337557,min_monitor_20250403_103150,1743651110.7529058
GM102B_mean,18.377651,-8.809187,-60.313358,min_monitor_20250403_103942,1743651582.7966795
GM302B_mean,18.162247,-11.320098,231.128127,min_monitor_20250403_103942,1743651582.7966795
GM502B_mean,20.312418,-17.350743,427.407984,min_monitor_20250403_103942,1743651582.7966795
GM702B_mean,18.218135,7.592261,-515.010383,min_monitor_20250403_103942,1743651582.7966795
GM102B_mean,17.453134,-9.810007,10.743790,min_monitor_20250403_104736,1743652056.4567823
GM302B_mean,17.203854,-12.357589,304.788890,min_monitor_20250403_104736,1743652056.4567823
GM502B_mean,19.395279,-18.343575,497.898062,min_monitor_20250403_104736,1743652056.4567823
GM702B_mean,16.921921,6.189068,-415.385168,min_monitor_20250403_104736,1743652056.4567823
GM102B_mean,16.929665,-10.687461,63.865243,min_monitor_20250403_105625,1743652585.0054855
GM302B_mean,16.710508,-13.184550,354.853481,min_monitor_20250403_105625,1743652585.0054855
GM502B_mean,18.963019,-19.068142,541.763601,min_monitor_20250403_105625,1743652585.0054855
GM702B_mean,15.895412,4.468402,-311.215291,min_monitor_20250403_105625,1743652585.0054855
GM102B_mean,16.929665,-10.687461,63.865243,min_monitor_20250403_105625,1743652585.0054855
GM302B_mean,16.710508,-13.184550,354.853481,min_monitor_20250403_105625,1743652585.0054855
GM502B_mean,18.963019,-19.068142,541.763601,min_monitor_20250403_105625,1743652585.0054855
GM702B_mean,15.895412,4.468402,-311.215291,min_monitor_20250403_105625,1743652585.0054855
GM102B_mean,16.658511,-11.418372,102.881258,min_monitor_20250403_110750,1743653270.6889076
GM302B_mean,16.453304,-13.877861,391.862411,min_monitor_20250403_110750,1743653270.6889076
GM502B_mean,18.782202,-19.555546,567.781261,min_monitor_20250403_110750,1743653270.6889076
GM702B_mean,15.338870,2.968210,-231.135043,min_monitor_20250403_110750,1743653270.6889076
GM102B_mean,16.469363,-11.952622,131.144694,min_monitor_20250403_111611,1743654071.8591034
GM302B_mean,16.278731,-14.370943,417.947919,min_monitor_20250403_111611,1743654071.8591034
GM502B_mean,18.670596,-19.870776,584.457869,min_monitor_20250403_111611,1743654071.8591034
GM702B_mean,14.964523,1.910866,-175.198417,min_monitor_20250403_111611,1743654071.8591034
GM102B_mean,16.333340,-12.279978,149.136124,min_monitor_20250403_112432,1743654572.7738698
GM302B_mean,16.158548,-14.660177,433.844197,min_monitor_20250403_112432,1743654572.7738698
GM502B_mean,18.604357,-20.030190,593.219230,min_monitor_20250403_112432,1743654572.7738698
GM702B_mean,14.749956,1.394485,-146.818137,min_monitor_20250403_112432,1743654572.7738698
GM102B_mean,15.990396,-12.581352,172.777165,min_monitor_20250403_113407,1743655148.1143668
GM302B_mean,15.875348,-14.909049,453.366756,min_monitor_20250403_113407,1743655148.1143668
GM502B_mean,18.371386,-20.234920,609.279142,min_monitor_20250403_113407,1743655148.1143668
GM702B_mean,14.187410,0.900128,-108.038764,min_monitor_20250403_113407,1743655148.1143668
GM102B_mean,16.263935,-12.649704,166.736640,min_monitor_20250403_125357,1743659637.856106
GM302B_mean,17.549475,-15.327382,416.397306,min_monitor_20250403_125357,1743659637.856106
GM502B_mean,19.909417,-20.619245,575.315095,min_monitor_20250403_125357,1743659637.856106
GM702B_mean,14.998226,0.697521,-125.943864,min_monitor_20250403_125357,1743659637.856106
GM102B_mean,16.346820,-12.311620,148.713089,min_monitor_20250403_141146,1743664306.9159558
